Date,Heavy Goods Vehicles,All motor vehicles,National Rail,Transport for London Tube,Transport for London Bus,Bus (excl. London),Cycling,,,Date
2020/3/1,108%,104%,97%,104%,102%,..,..,,,2020/3/1
2020/3/2,103%,103%,94%,95%,97%,..,..,,,2020/3/2
2020/3/3,102%,102%,95%,95%,96%,..,..,,,2020/3/3
2020/3/4,103%,101%,95%,95%,97%,..,..,,,2020/3/4
2020/3/5,102%,100%,97%,92%,92%,..,..,,,2020/3/5
2020/3/6,102%,102%,99%,92%,96%,..,..,,,2020/3/6
2020/3/7,108%,102%,99%,91%,93%,..,..,,,2020/3/7
2020/3/8,112%,106%,99%,87%,95%,..,89%,,,2020/3/8
2020/3/9,104%,103%,100%,90%,95%,102%,105%,,,2020/3/9
2020/3/10,103%,101%,99%,89%,97%,102%,82%,,,2020/3/10
2020/3/11,103%,100%,98%,86%,93%,98%,118%,,,2020/3/11
2020/3/12,102%,99%,96%,81%,92%,98%,120%,,,2020/3/12
2020/3/13,102%,98%,92%,72%,87%,94%,99%,,,2020/3/13
2020/3/14,108%,95%,89%,61%,83%,85%,127%,,,2020/3/14
2020/3/15,112%,96%,85%,54%,74%,85%,93%,,,2020/3/15
2020/3/16,104%,98%,78%,60%,79%,88%,104%,,,2020/3/16
2020/3/17,103%,89%,69%,44%,70%,77%,77%,,,2020/3/17
2020/3/18,100%,83%,59%,35%,65%,62%,93%,,,2020/3/18
2020/3/19,100%,82%,51%,30%,59%,58%,91%,,,2020/3/19
2020/3/20,98%,81%,43%,24%,52%,53%,82%,,,2020/3/20
2020/3/21,102%,73%,37%,13%,39%,40%,118%,,,2020/3/21
2020/3/22,101%,69%,33%,11%,32%,35%,126%,,,2020/3/22
2020/3/23,97%,69%,25%,15%,31%,27%,86%,,,2020/3/23
2020/3/24,84%,49%,20%,9%,22%,17%,85%,,,2020/3/24
2020/3/25,77%,42%,16%,7%,19%,14%,128%,,,2020/3/25
2020/3/26,72%,39%,13%,6%,18%,13%,132%,,,2020/3/26
2020/3/27,69%,38%,10%,6%,18%,14%,106%,,,2020/3/27
2020/3/28,71%,30%,9%,4%,17%,12%,125%,,,2020/3/28
2020/3/29,72%,25%,8%,4%,16%,13%,83%,,,2020/3/29
2020/3/30,64%,36%,6%,5%,17%,12%,72%,,,2020/3/30
2020/3/31,62%,36%,5%,5%,17%,12%,96%,,,2020/3/31
2020/4/1,61%,35%,5%,5%,16%,11%,111%,,,2020/4/1
2020/4/2,60%,35%,5%,5%,16%,11%,110%,,,2020/4/2
2020/4/3,60%,36%,5%,5%,16%,12%,112%,,,2020/4/3
2020/4/4,66%,31%,5%,4%,17%,11%,200%,,,2020/4/4
2020/4/5,70%,27%,5%,4%,17%,12%,225%,,,2020/4/5
2020/4/6,61%,37%,5%,5%,18%,11%,105%,,,2020/4/6
2020/4/7,60%,36%,5%,5%,18%,11%,137%,,,2020/4/7
2020/4/8,62%,37%,5%,5%,17%,10%,155%,,,2020/4/8
2020/4/9,61%,39%,5%,5%,18%,12%,168%,,,2020/4/9
2020/4/10,33%,27%,4%,4%,17%,12%,179%,,,2020/4/10
2020/4/11,55%,31%,4%,4%,16%,10%,288%,,,2020/4/11
2020/4/12,50%,24%,4%,4%,14%,10%,248%,,,2020/4/12
2020/4/13,25%,23%,4%,5%,18%,12%,121%,,,2020/4/13
2020/4/14,60%,38%,4%,5%,19%,12%,134%,,,2020/4/14
2020/4/15,63%,38%,4%,5%,18%,10%,194%,,,2020/4/15
2020/4/16,63%,38%,4%,5%,18%,11%,203%,,,2020/4/16
2020/4/17,63%,39%,5%,5%,18%,11%,101%,,,2020/4/17
2020/4/18,71%,33%,5%,4%,16%,11%,143%,,,2020/4/18
2020/4/19,73%,32%,5%,4%,..,13%,321%,,,2020/4/19
2020/4/20,65%,41%,6%,5%,..,12%,139%,,,2020/4/20
2020/4/21,64%,41%,5%,5%,..,11%,150%,,,2020/4/21
2020/4/22,65%,41%,5%,5%,..,11%,201%,,,2020/4/22
2020/4/23,64%,41%,5%,5%,..,11%,220%,,,2020/4/23
2020/4/24,65%,42%,4%,5%,..,12%,188%,,,2020/4/24
2020/4/25,71%,38%,4%,4%,..,12%,292%,,,2020/4/25
2020/4/26,75%,35%,4%,4%,..,13%,341%,,,2020/4/26
2020/4/27,68%,44%,4%,5%,..,12%,158%,,,2020/4/27
2020/4/28,67%,42%,4%,5%,..,11%,49%,,,2020/4/28
2020/4/29,68%,42%,4%,5%,..,11%,112%,,,2020/4/29
2020/4/30,67%,42%,4%,5%,..,11%,97%,,,2020/4/30
2020/5/1,66%,44%,4%,5%,..,12%,123%,,,2020/5/1
2020/5/2,72%,40%,4%,4%,..,12%,308%,,,2020/5/2
2020/5/3,76%,37%,4%,4%,..,13%,257%,,,2020/5/3
2020/5/4,70%,46%,5%,6%,..,12%,155%,,,2020/5/4
2020/5/5,71%,46%,5%,6%,..,12%,131%,,,2020/5/5
2020/5/6,73%,47%,5%,5%,..,12%,227%,,,2020/5/6
2020/5/7,71%,49%,5%,5%,..,13%,225%,,,2020/5/7
2020/5/8,35%,34%,5%,7%,..,..,237%,,,2020/5/8
2020/5/9,65%,41%,5%,5%,..,13%,384%,,,2020/5/9
2020/5/10,77%,37%,5%,4%,..,13%,150%,,,2020/5/10
2020/5/11,74%,49%,5%,6%,..,12%,100%,,,2020/5/11
2020/5/12,75%,50%,5%,6%,..,13%,144%,,,2020/5/12
2020/5/13,76%,53%,5%,6%,..,12%,152%,,,2020/5/13
2020/5/14,75%,54%,5%,6%,..,13%,210%,,,2020/5/14
2020/5/15,74%,55%,6%,6%,..,13%,174%,,,2020/5/15
2020/5/16,80%,56%,6%,5%,..,13%,316%,,,2020/5/16
2020/5/17,84%,54%,6%,5%,..,15%,311%,,,2020/5/17
2020/5/18,79%,58%,6%,7%,..,14%,164%,,,2020/5/18
2020/5/19,79%,58%,7%,7%,..,14%,168%,,,2020/5/19
2020/5/20,80%,60%,7%,7%,..,13%,231%,,,2020/5/20
2020/5/21,80%,59%,7%,7%,..,13%,224%,,,2020/5/21
2020/5/22,79%,59%,7%,8%,..,14%,121%,,,2020/5/22
2020/5/23,84%,58%,7%,6%,..,14%,161%,,,2020/5/23
2020/5/24,80%,58%,7%,6%,..,16%,263%,,,2020/5/24
2020/5/25,34%,50%,7%,9%,..,19%,283%,,,2020/5/25
2020/5/26,81%,63%,7%,9%,..,15%,166%,,,2020/5/26
2020/5/27,84%,63%,7%,8%,..,14%,225%,,,2020/5/27
2020/5/28,83%,64%,7%,9%,..,14%,235%,,,2020/5/28
2020/5/29,83%,66%,8%,9%,..,15%,197%,,,2020/5/29
2020/5/30,92%,69%,8%,8%,..,16%,322%,,,2020/5/30
2020/5/31,94%,71%,8%,9%,..,19%,321%,,,2020/5/31
2020/6/1,87%,69%,8%,10%,..,17%,183%,,,2020/6/1
2020/6/2,84%,69%,9%,10%,..,18%,183%,,,2020/6/2
2020/6/3,85%,63%,10%,10%,..,16%,119%,,,2020/6/3
2020/6/4,85%,64%,10%,10%,..,17%,169%,,,2020/6/4
2020/6/5,85%,66%,11%,10%,..,17%,114%,,,2020/6/5
2020/6/6,90%,66%,11%,10%,..,16%,125%,,,2020/6/6
2020/6/7,93%,66%,12%,11%,..,19%,222%,,,2020/6/7
2020/6/8,87%,68%,13%,11%,..,18%,164%,,,2020/6/8
2020/6/9,88%,69%,13%,11%,25%,19%,169%,,,2020/6/9
2020/6/10,88%,66%,12%,11%,25%,17%,125%,,,2020/6/10
2020/6/11,88%,66%,12%,11%,26%,17%,124%,,,2020/6/11
2020/6/12,87%,67%,12%,11%,26%,18%,113%,,,2020/6/12
2020/6/13,93%,76%,13%,12%,31%,19%,286%,,,2020/6/13
2020/6/14,97%,77%,12%,11%,30%,21%,304%,,,2020/6/14
2020/6/15,92%,74%,12%,14%,32%,21%,168%,,,2020/6/15
2020/6/16,91%,72%,13%,13%,31%,21%,145%,,,2020/6/16
2020/6/17,92%,72%,13%,13%,30%,20%,167%,,,2020/6/17
2020/6/18,89%,69%,14%,13%,29%,19%,95%,,,2020/6/18
2020/6/19,90%,74%,14%,14%,29%,21%,118%,,,2020/6/19
2020/6/20,97%,86%,15%,15%,36%,24%,286%,,,2020/6/20
2020/6/21,95%,83%,15%,13%,34%,24%,186%,,,2020/6/21
2020/6/22,93%,77%,15%,16%,34%,23%,179%,,,2020/6/22
2020/6/23,94%,78%,15%,15%,34%,23%,180%,,,2020/6/23
2020/6/24,94%,80%,16%,15%,34%,22%,201%,,,2020/6/24
2020/6/25,92%,80%,16%,15%,34%,23%,243%,,,2020/6/25
2020/6/26,91%,78%,17%,15%,35%,22%,147%,,,2020/6/26
2020/6/27,97%,78%,16%,15%,36%,23%,127%,,,2020/6/27
2020/6/28,99%,79%,17%,15%,36%,26%,180%,,,2020/6/28
2020/6/29,96%,77%,16%,16%,33%,24%,93%,,,2020/6/29
2020/6/30,96%,77%,17%,16%,32%,26%,125%,,,2020/6/30
2020/7/1,97%,78%,16%,16%,33%,24%,155%,,,2020/7/1
2020/7/2,96%,77%,16%,16%,33%,25%,155%,,,2020/7/2
2020/7/3,96%,79%,17%,20%,35%,25%,114%,,,2020/7/3
2020/7/4,101%,84%,17%,18%,39%,29%,178%,,,2020/7/4
2020/7/5,105%,87%,18%,20%,40%,32%,176%,,,2020/7/5
2020/7/6,97%,83%,19%,19%,37%,29%,138%,,,2020/7/6
2020/7/7,97%,80%,19%,19%,37%,29%,109%,,,2020/7/7
2020/7/8,97%,79%,20%,19%,36%,28%,100%,,,2020/7/8
2020/7/9,96%,80%,21%,19%,37%,28%,112%,,,2020/7/9
2020/7/10,96%,86%,21%,21%,39%,30%,133%,,,2020/7/10
2020/7/11,104%,93%,22%,24%,45%,34%,232%,,,2020/7/11
2020/7/12,111%,99%,22%,24%,45%,37%,253%,,,2020/7/12
2020/7/13,98%,84%,23%,21%,41%,31%,110%,,,2020/7/13
2020/7/14,98%,83%,23%,20%,40%,32%,125%,,,2020/7/14
2020/7/15,98%,83%,24%,21%,40%,31%,127%,,,2020/7/15
