date,areaType,areaCode,areaName,cumCasesByPublishDate
"2021-01-07",nation,E92000001,England,2497824
"2021-01-06",nation,E92000001,England,2450983
"2021-01-05",nation,E92000001,England,2394923
"2021-01-04",nation,E92000001,England,2339983
"2021-01-03",nation,E92000001,England,2286803
"2021-01-02",nation,E92000001,England,2239950
"2021-01-01",nation,E92000001,England,2190702
"2020-12-31",nation,E92000001,England,2139956
"2020-12-30",nation,E92000001,England,2090446
"2020-12-29",nation,E92000001,England,2046892
"2020-12-28",nation,E92000001,England,1999728
"2020-12-27",nation,E92000001,England,1963217
"2020-12-26",nation,E92000001,England,1937598
"2020-12-25",nation,E92000001,England,1906291
"2020-12-24",nation,E92000001,England,1874731
"2020-12-23",nation,E92000001,England,1839170
"2020-12-22",nation,E92000001,England,1804923
"2020-12-21",nation,E92000001,England,1772635
"2020-12-20",nation,E92000001,England,1743893
"2020-12-19",nation,E92000001,England,1711738
"2020-12-18",nation,E92000001,England,1688963
"2020-12-17",nation,E92000001,England,1664511
"2020-12-16",nation,E92000001,England,1642110
"2020-12-15",nation,E92000001,England,1618678
"2020-12-14",nation,E92000001,England,1602174
"2020-12-13",nation,E92000001,England,1584292
"2020-12-12",nation,E92000001,England,1567128
"2020-12-11",nation,E92000001,England,1549660
"2020-12-10",nation,E92000001,England,1531761
"2020-12-09",nation,E92000001,England,1514139
"2020-12-08",nation,E92000001,England,1501179
"2020-12-07",nation,E92000001,England,1490720
"2020-12-06",nation,E92000001,England,1479097
"2020-12-05",nation,E92000001,England,1464803
"2020-12-04",nation,E92000001,England,1452137
"2020-12-03",nation,E92000001,England,1438725
"2020-12-02",nation,E92000001,England,1426733
"2020-12-01",nation,E92000001,England,1413410
"2020-11-30",nation,E92000001,England,1401792
"2020-11-29",nation,E92000001,England,1390923
"2020-11-28",nation,E92000001,England,1380869
"2020-11-27",nation,E92000001,England,1367546
"2020-11-26",nation,E92000001,England,1355272
"2020-11-25",nation,E92000001,England,1340635
"2020-11-24",nation,E92000001,England,1324742
"2020-11-23",nation,E92000001,England,1314888
"2020-11-22",nation,E92000001,England,1301559
"2020-11-21",nation,E92000001,England,1284891
"2020-11-20",nation,E92000001,England,1267276
"2020-11-19",nation,E92000001,England,1249431
"2020-11-18",nation,E92000001,England,1229140
"2020-11-17",nation,E92000001,England,1211951
"2020-11-16",nation,E92000001,England,1194402
"2020-11-15",nation,E92000001,England,1174979
"2020-11-14",nation,E92000001,England,1152981
"2020-11-13",nation,E92000001,England,1128683
"2020-11-12",nation,E92000001,England,1104143
"2020-11-11",nation,E92000001,England,1073300
"2020-11-10",nation,E92000001,England,1053330
"2020-11-09",nation,E92000001,England,1034708
"2020-11-08",nation,E92000001,England,1015672
"2020-11-07",nation,E92000001,England,997379
"2020-11-06",nation,E92000001,England,975504
"2020-11-05",nation,E92000001,England,955236
"2020-11-04",nation,E92000001,England,934099
"2020-11-03",nation,E92000001,England,912236
"2020-11-02",nation,E92000001,England,894906
"2020-11-01",nation,E92000001,England,879046
"2020-10-31",nation,E92000001,England,858444
"2020-10-30",nation,E92000001,England,839580
"2020-10-29",nation,E92000001,England,818759
"2020-10-28",nation,E92000001,England,799019
"2020-10-27",nation,E92000001,England,777774
"2020-10-26",nation,E92000001,England,758145
"2020-10-25",nation,E92000001,England,740262
"2020-10-24",nation,E92000001,England,723775
"2020-10-23",nation,E92000001,England,704443
"2020-10-22",nation,E92000001,England,687327
"2020-10-21",nation,E92000001,England,669973
"2020-10-20",nation,E92000001,England,647025
"2020-10-19",nation,E92000001,England,629211
"2020-10-18",nation,E92000001,England,612846
"2020-10-17",nation,E92000001,England,598142
"2020-10-16",nation,E92000001,England,584843
"2020-10-15",nation,E92000001,England,572667
"2020-10-14",nation,E92000001,England,556528
"2020-10-13",nation,E92000001,England,540396
"2020-10-12",nation,E92000001,England,526086
"2020-10-11",nation,E92000001,England,514439
"2020-10-10",nation,E92000001,England,504056
"2020-10-09",nation,E92000001,England,491428
"2020-10-08",nation,E92000001,England,480656
"2020-10-07",nation,E92000001,England,465704
"2020-10-06",nation,E92000001,England,454176
"2020-10-05",nation,E92000001,England,441528
"2020-10-04",nation,E92000001,England,430843
"2020-10-03",nation,E92000001,England,409534
"2020-10-02",nation,E92000001,England,398728
"2020-10-01",nation,E92000001,England,393931
"2020-09-30",nation,E92000001,England,388342
"2020-09-29",nation,E92000001,England,382686
"2020-09-28",nation,E92000001,England,377035
"2020-09-27",nation,E92000001,England,373719
"2020-09-26",nation,E92000001,England,368919
"2020-09-25",nation,E92000001,England,364280
"2020-09-24",nation,E92000001,England,358557
"2020-09-23",nation,E92000001,England,352925
"2020-09-22",nation,E92000001,England,347842
"2020-09-21",nation,E92000001,England,343655
"2020-09-20",nation,E92000001,England,339901
"2020-09-19",nation,E92000001,England,336622
"2020-09-18",nation,E92000001,England,332984
"2020-09-17",nation,E92000001,England,329213
"2020-09-16",nation,E92000001,England,326425
"2020-09-15",nation,E92000001,England,323029
"2020-09-14",nation,E92000001,England,320380
"2020-09-13",nation,E92000001,England,318121
"2020-09-12",nation,E92000001,England,315284
"2020-09-11",nation,E92000001,England,312276
"2020-09-10",nation,E92000001,England,309133
"2020-09-09",nation,E92000001,England,306555
"2020-09-08",nation,E92000001,England,304269
"2020-09-07",nation,E92000001,England,302175
"2020-09-06",nation,E92000001,England,299647
"2020-09-05",nation,E92000001,England,297071
"2020-09-04",nation,E92000001,England,295594
"2020-09-03",nation,E92000001,England,293925
"2020-09-02",nation,E92000001,England,292418
"2020-09-01",nation,E92000001,England,291179
"2020-08-31",nation,E92000001,England,290138
"2020-08-30",nation,E92000001,England,288989
"2020-08-29",nation,E92000001,England,287502
"2020-08-28",nation,E92000001,England,286611
"2020-08-27",nation,E92000001,England,285505
"2020-08-26",nation,E92000001,England,284155
"2020-08-25",nation,E92000001,England,283280
"2020-08-24",nation,E92000001,England,282215
"2020-08-23",nation,E92000001,England,281457
"2020-08-22",nation,E92000001,England,280519
"2020-08-21",nation,E92000001,England,279459
"2020-08-20",nation,E92000001,England,278551
"2020-08-19",nation,E92000001,England,277516
"2020-08-18",nation,E92000001,England,276809
"2020-08-17",nation,E92000001,England,275834
"2020-08-16",nation,E92000001,England,275200
"2020-08-15",nation,E92000001,England,274248
"2020-08-14",nation,E92000001,England,273314
"2020-08-13",nation,E92000001,England,272030
"2020-08-12",nation,E92000001,England,270971
"2020-08-11",nation,E92000001,England,270046
"2020-08-10",nation,E92000001,England,269011
"2020-08-09",nation,E92000001,England,268312
"2020-08-08",nation,E92000001,England,267324
