Datee,Date,Rate
17-Jun,17-Jun,80
17-Jul,17-Jul,83
17-Aug,17-Aug,81
17-Sep,17-Sep,83
17-Oct,17-Oct,78
17-Nov,17-Nov,75
17-Dec,17-Dec,68
18-Jan,18-Jan,63
18-Feb,18-Feb,71
18-Mar,18-Mar,73
18-Apr,18-Apr,75
18-May,18-May,78
18-Jun,18-Jun,82
18-Jul,18-Jul,85
18-Aug,18-Aug,83
18-Sep,18-Sep,83
18-Oct,18-Oct,81
18-Nov,18-Nov,76
18-Dec,18-Dec,69
19-Jan,19-Jan,63
19-Feb,19-Feb,70
19-Mar,19-Mar,73
19-Apr,19-Apr,75
19-May,19-May,78
19-Jun,19-Jun,80
19-Jul,19-Jul,84
19-Aug,19-Aug,82
19-Sep,19-Sep,82
19-Oct,19-Oct,80
19-Nov,19-Nov,76
19-Dec,19-Dec,68
20-Jan,20-Jan,63
20-Feb,20-Feb,69
20-Mar,20-Mar,36
20-Apr,20-Apr,20
20-May,20-May,20
20-Jun,20-Jun,21
